district,climate_zone,experience_level,budget_level,farming_setup,soil_type,season,crop_type_preference,water_access,recommendation_1,recommendation_1_score,recommendation_2,recommendation_2_score,recommendation_3,recommendation_3_score,success_probability,estimated_roi,profitability_score,space_required_sqm,growth_duration_days,difficulty_level,market_demand,market_price_per_kg,water_requirement,market_conditions,alternative_crops
Puttalam,dry_zone,Beginner,High,Small_Plot,Alluvial,Yala,Vegetables,Yes,Turmeric,86.9,Moringa,85.7,Lime,62.4,0.818,72.3,76,2.7,244,2,10,332,Medium,1.1,"Lemon, Baby Corn, Wood Apple"
Mannar,northern,Beginner,Low,Backyard,Alluvial,Maha,Herbs,No,Chili,81.6,Eggplant,74.8,Okra,74.8,0.624,49.8,72,1.3,84,2,10,323,Medium,0.89,"Aloe Vera, Moringa, Turmeric"
Colombo,coastal,Beginner,High,Backyard,Sandy,Maha,Fruits,Yes,Chili,99.8,Aloe Vera,97,Tomato,88.7,0.863,78.1,72,1.9,73,2,10,230,Medium,1.02,"Moringa, Eggplant, Lime"
Kandy,hill_country,Beginner,Medium,Small_Plot,Laterite,Maha,Cash_Crops,Yes,Turmeric,95.8,Lemon,81.9,Baby Corn,73.1,0.876,127.5,76,5,189,2,10,364,Medium,1.2,"Moringa, Cabbage, Lime"
Kilinochchi,northern,Intermediate,Low,Container,Clay,Maha,Herbs,Yes,Chili,90.7,Eggplant,83.2,Okra,68,0.95,188.9,72,2,81,2,10,272,Medium,0.92,"Tomato, Aloe Vera, Cherry Tomato"
Matale,hill_country,Intermediate,Low,Rooftop,Laterite,Maha,Ayurvedic_Plants,Yes,Capsicum,78.1,Curry Leaves,75.6,Basil,69.3,0.764,77.8,62,2.2,82,2,6,423,Medium,1.15,"Mint, Chili, Aloe Vera"
Batticaloa,coastal,Intermediate,Low,Container,Laterite,Yala,Ayurvedic_Plants,No,Aloe Vera,100,Chili,89.8,Curry Leaves,83.2,0.785,121.4,70,1.5,80,1,10,399,Low,0.87,"Okra, Bell Pepper, Cherry Tomato"
Matara,coastal,Advanced,Low,Container,Alluvial,Yala,Ayurvedic_Plants,Yes,Chili,99.8,Aloe Vera,97,Bell Pepper,88.7,0.807,165.2,72,1.7,74,2,8,516,Medium,0.88,"Cherry Tomato, Tomato, Capsicum"
Batticaloa,coastal,Beginner,Low,Container,Laterite,Maha,Cash_Crops,Yes,Chili,90.7,Tomato,88.7,Aloe Vera,88.2,0.761,55.5,72,2.9,75,2,10,446,Medium,1.05,"Cherry Tomato, Eggplant, Bell Pepper"
Kalmunai,wet_zone,Intermediate,Low,Rooftop,Alluvial,Maha,Cash_Crops,Yes,Mint,69.3,Chili,68,Aloe Vera,66.2,0.742,186.9,50,0.8,34,1,9,194,High,1.13,"Spinach, Capsicum, Curry Leaves"
Batticaloa,coastal,Advanced,Medium,Rooftop,Laterite,Yala,Vegetables,Yes,Chili,99.8,Aloe Vera,97,Capsicum,78.1,0.947,131.8,72,2.9,70,2,10,424,Medium,0.99,"Curry Leaves, Basil, Mint"
Puttalam,dry_zone,Advanced,Low,Container,Clay,Yala,Herbs,Yes,Chili,99.8,Aloe Vera,97,Strawberry,90.7,0.91,148.3,72,2.1,71,2,10,410,Medium,1.12,"Eggplant, Curry Leaves, Okra"
Matale,hill_country,Beginner,Low,Backyard,Red_Earth,Yala,Leafy_Greens,Yes,Turmeric,100,Ginger,93.2,Lemon,81.9,0.95,90.2,76,4.9,186,2,9,474,Medium,1.06,"Tomato, Baby Corn, Curry Leaves"
Kalutara,coastal,Intermediate,Low,Backyard,Sandy,Yala,Cash_Crops,No,Aloe Vera,100,Moringa,94.2,Chili,89.8,0.832,76.6,70,2.9,95,1,10,293,Low,0.82,"Passion Fruit, Curry Leaves, Okra"
